ID Produk,Kategori Produk,Nama Produk,Harga,Deksripsi,Concatenated
b1a2de67-14c3-468b-a421-dcf1456718c5,Makanan & Minuman,Coklat Blueberry An Krella,37000,"Coklat Blueberry An Krella Cemilan coklat enak yang bisa dimakan dalam suasanan apapun, penambah mood (moodbooster), enak, dan selalu pengen nambah lagi!Komposisi : Cokelat dark compound, olahan blueberry, dllterferivikasi halal MUI dan nomor PIRT yang jelasI LOVE LOMBOKOleh oleh khas Lombok","Coklat Blueberry An Krella 37000 Coklat Blueberry An Krella Cemilan coklat enak yang bisa dimakan dalam suasanan apapun, penambah mood (moodbooster), enak, dan selalu pengen nambah lagi!Komposisi : Cokelat dark compound, olahan blueberry, dllterferivikasi halal MUI dan nomor PIRT yang jelasI LOVE LOMBOKOleh oleh khas Lombok"
4f36c804-4822-4a0b-8f27-56ad34e149d6,Makanan & Minuman,Coklat Jahe Lombok AnKrella Wida Chocolate,45000,"Coklat Jahe Lombok AnKrella Wida ChocolateNetto 60 grPerpaduan coklat asli Lombok dengan jahe yang menghasilkan kenikmatan rasa yang kaya akan manfaatBersertifikasi halal MUICocok untuk menjadi oleh-oleh khas Lombok, ataupun stock cemilan coklat di rumah","Coklat Jahe Lombok AnKrella Wida Chocolate 45000 Coklat Jahe Lombok AnKrella Wida ChocolateNetto 60 grPerpaduan coklat asli Lombok dengan jahe yang menghasilkan kenikmatan rasa yang kaya akan manfaatBersertifikasi halal MUICocok untuk menjadi oleh-oleh khas Lombok, ataupun stock cemilan coklat di rumah"
31eb5b76-c27c-4a3f-9600-90ef2bf35bff,Kecantikan,Sabun Haselly Pollen Soap Bar Hasanah,40000,"Sabun Haselly Pollen Soap Bar HasanahHandmade soap, Unscented, all natural, export qualityHaselly pollen soap bar in bermanfaat untuk :1. Mengangkat sel kulit mati2. Mencerahkan kulit3. Menghilangkan bekas jerawat4. Melembutkan kulit5. Mengencangkan kulit6. Anti BakteriProduksi asli Lumbung Madu Hasanah Lombok BaratTerbuat dari: bahan sabun transparan, bee pollen, madu, kunyit, kayu manis, propolis madu trigona, dan minyak zaitun.FEEL THE BENEFITS SINCE THE FIRST USAGE!","Sabun Haselly Pollen Soap Bar Hasanah 40000 Sabun Haselly Pollen Soap Bar HasanahHandmade soap, Unscented, all natural, export qualityHaselly pollen soap bar in bermanfaat untuk :1. Mengangkat sel kulit mati2. Mencerahkan kulit3. Menghilangkan bekas jerawat4. Melembutkan kulit5. Mengencangkan kulit6. Anti BakteriProduksi asli Lumbung Madu Hasanah Lombok BaratTerbuat dari: bahan sabun transparan, bee pollen, madu, kunyit, kayu manis, propolis madu trigona, dan minyak zaitun.FEEL THE BENEFITS SINCE THE FIRST USAGE!"
2596a2ec-45ad-4532-bdf8-d38222c02520,Makanan & Minuman,Madu Hutan Super Nektar Kaliandra Hasanah 250 Ml,100000,Madu Hutan Super Apis Malifera Hasanah- 100% madu hutan (Apis Malifera) produksi Lumbung Madu Hasanah- Netto 250 ml- Bersertifikasi halal MUI dan terdapat PIRT- Warna Kuning terang dihasilkan dari madu hutan nektar Kaliandra- Menyiman sejuta manfaat untuk kesehatan badan,Madu Hutan Super Nektar Kaliandra Hasanah 250 Ml 100000 Madu Hutan Super Apis Malifera Hasanah- 100% madu hutan (Apis Malifera) produksi Lumbung Madu Hasanah- Netto 250 ml- Bersertifikasi halal MUI dan terdapat PIRT- Warna Kuning terang dihasilkan dari madu hutan nektar Kaliandra- Menyiman sejuta manfaat untuk kesehatan badan
42944eeb-6291-4da2-a62e-c3d8196dcc2d,Makanan & Minuman,Madu Akasia Casicarva | Madu Hutan Super Hasanah 250 Ml,100000,"Madu Hutan Super Apis Meliferna Hasanah 250 ml- nektar Akasia Casicarva- Komposisi 100% Madu hutan/Apis MeliferaBeberapa manfaat madu hutan yang bisa kita nikmati adalah: 1. Membantu meningkatkan stamina dan kekebalan tubuh 2. Meningkatkan nafsu makan 3. Menyehatkan kulit 4. Menurunkan tekanan darah 5. Menurunkan risiko seangan jantung, stroke, hingga beberapa jenis kanker. 6. Memperbaiki/menurunkan tekanan kolesterol7. Bantu meredakan batuk pilek","Madu Akasia Casicarva | Madu Hutan Super Hasanah 250 Ml 100000 Madu Hutan Super Apis Meliferna Hasanah 250 ml- nektar Akasia Casicarva- Komposisi 100% Madu hutan/Apis MeliferaBeberapa manfaat madu hutan yang bisa kita nikmati adalah: 1. Membantu meningkatkan stamina dan kekebalan tubuh 2. Meningkatkan nafsu makan 3. Menyehatkan kulit 4. Menurunkan tekanan darah 5. Menurunkan risiko seangan jantung, stroke, hingga beberapa jenis kanker. 6. Memperbaiki/menurunkan tekanan kolesterol7. Bantu meredakan batuk pilek"
551ed9b5-081c-4704-ab45-7fdeca50b972,Makanan & Minuman,Coklat Jelly Tas 250 Gr,48000,"Cokjel Paket Tas (Coklat Jelly) by Charity Food- coklat premium homemade higenis- bukan sembarang jelly, menggunakan jelly enak kenyal melt dengan kombinasi coklat- cocok dijadikan sebagai hadiah- makanan kids friendly","Coklat Jelly Tas 250 Gr 48000 Cokjel Paket Tas (Coklat Jelly) by Charity Food- coklat premium homemade higenis- bukan sembarang jelly, menggunakan jelly enak kenyal melt dengan kombinasi coklat- cocok dijadikan sebagai hadiah- makanan kids friendly"
bfc696ed-42ce-421d-95b0-f93d39ba8e56,Makanan & Minuman,Madu Dorsata Hasanah 250 Ml,100000,"Madu Dorsata Hasanah Madu Hutan Super- produk Madu Apis Dorsata super dari UMKM Lumbung Madu Hasanah Lombok Barat- Netto 250 ml- Murni tanpa ada zat tambahan- Alami tanpa menggunakan pewarna, zat perisa atau zat sintetis- telah dikenal baik oleh para pecinta madu- perpaduan rasa dan aroma yang khas- Komposisi 100% madu hutan/Apis Dorsata- bersertifikasi halal MUI","Madu Dorsata Hasanah 250 Ml 100000 Madu Dorsata Hasanah Madu Hutan Super- produk Madu Apis Dorsata super dari UMKM Lumbung Madu Hasanah Lombok Barat- Netto 250 ml- Murni tanpa ada zat tambahan- Alami tanpa menggunakan pewarna, zat perisa atau zat sintetis- telah dikenal baik oleh para pecinta madu- perpaduan rasa dan aroma yang khas- Komposisi 100% madu hutan/Apis Dorsata- bersertifikasi halal MUI"
ebb239a1-989a-4125-96e3-8130982fc42d,Kesehatan,Kotak Tisu Kerang Full Silver Purnama Artshop,175500,Kotak Tisu Kerang Full Silver Purnama Artshop- dilapisi dengan kulit kerang berkilauan cantik- kokoh dan tidak mudah pecah jika terbanting- kotak tisu persegi panjang- swipe foto untuk melihat lebih detail produk,Kotak Tisu Kerang Full Silver Purnama Artshop 175500 Kotak Tisu Kerang Full Silver Purnama Artshop- dilapisi dengan kulit kerang berkilauan cantik- kokoh dan tidak mudah pecah jika terbanting- kotak tisu persegi panjang- swipe foto untuk melihat lebih detail produk
a95136d9-8f08-43a3-b26b-447f199faf7e,Kesehatan,Kotak Tisu Kerang Kombinasi Ketak Purnama Artshop,175500,Kotak Tisu Kerang Kombinasi Ketak Purnama Artshop- kotak tisu dengan kulit kerang yang dikombinasikan dengan gradasi biru- dibalut dengan kerajinan ketak untuk menambah estetika - swipe foto untuk melihat produk lebih detail,Kotak Tisu Kerang Kombinasi Ketak Purnama Artshop 175500 Kotak Tisu Kerang Kombinasi Ketak Purnama Artshop- kotak tisu dengan kulit kerang yang dikombinasikan dengan gradasi biru- dibalut dengan kerajinan ketak untuk menambah estetika - swipe foto untuk melihat produk lebih detail
c77dae9b-92a2-46f5-9d85-12be3846b654,Kesehatan,Kotak Tisu Kerang Purnama Art Shop,175500,Kotak Tisu Kerang Purnama Art Shop- kotak tisu persegi panjang- motif biru gradasi hijau dengan bahan asli kulit kerang- kulit kerang dikombinasikan dengan bahan kuat sehingga membuat kotak tisu kokoh- sangat cantik untuk menghiasi kamar/ruang tamu anda- swipe foto produk untuk melihat detail corak kotak tisuHarga Rp. 165.000,Kotak Tisu Kerang Purnama Art Shop 175500 Kotak Tisu Kerang Purnama Art Shop- kotak tisu persegi panjang- motif biru gradasi hijau dengan bahan asli kulit kerang- kulit kerang dikombinasikan dengan bahan kuat sehingga membuat kotak tisu kokoh- sangat cantik untuk menghiasi kamar/ruang tamu anda- swipe foto produk untuk melihat detail corak kotak tisuHarga Rp. 165.000
